"Protein","Missing_Percent"
"ATP6V1E1",0
"ATP6V1F",0
"ATP6V1G1",0
"ATP6V1G2",22.1476510067114
"ATP6V1H",0
"ATP7A",0
"ATP7B",28.8590604026846
"ATP8A1",0
"ATP8B1",5.36912751677852
"ATP8B2",96.6442953020134
"ATP9A",0
"ATP9B",16.1073825503356
"ATPAF1",0
"ATPAF2",0
"ATR",12.751677852349
"ATRAID",30.8724832214765
"ATRIP",7.38255033557047
"ATRN",0
"ATRNL1",85.9060402684564
"ATRX",0
"ATXN1",0
"ATXN10",0
"ATXN1L",3.35570469798658
"ATXN2",0
"ATXN2L",0
"ATXN3",0
"ATXN7",58.3892617449664
"ATXN7L3",41.6107382550336
"ATXN7L3B",0
"AUH",0
"AUP1",0
"AURKA",73.8255033557047
"AURKAIP1",55.0335570469799
"AURKB",57.7181208053691
"AUTS2",37.5838926174497
"AVEN",0
"AVIL",16.1073825503356
"AVL9",0
"AXIN1",85.2348993288591
"AXL",15.4362416107383
"AZGP1",0
"AZI2",8.7248322147651
"AZU1",0
"B3GALNT1",77.1812080536913
"B3GALNT2",71.8120805369127
"B3GALT5",9.39597315436242
"B3GALT6",36.241610738255
"B3GAT3",3.35570469798658
"B3GLCT",0
"B3GNT2",18.1208053691275
"B3GNT3",36.9127516778523
"B3GNT7",7.38255033557047
"B3GNT8",81.8791946308725
"B3GNT9",76.510067114094
"B3GNTL1",60.4026845637584
"B4GALNT3",89.9328859060403
"B4GALT1",0
"B4GALT3",53.0201342281879
"B4GALT4",0
"B4GALT5",68.4563758389262
"B4GALT7",41.6107382550336
"B4GAT1",3.35570469798658
"B9D1",45.6375838926174
"B9D2",69.1275167785235
"BAAT",89.9328859060403
"BABAM1",0
"BABAM2",0
"BACE1",60.4026845637584
"BACE2",62.4161073825503
"BACH1",0
"BAD",0
"BAG1",0
"BAG2",0
"BAG3",0
"BAG4",13.4228187919463
"BAG5",0
"BAG6",0
"BAHD1",76.510067114094
"BAIAP2",0
"BAIAP2L1",0
"BAIAP2L2",51.006711409396
"BAK1",10.0671140939597
"BANF1",0
"BANF2",32.8859060402685
"BANK1",29.5302013422819
"BANP",4.02684563758389
"BAP1",28.1879194630872
"BARD1",71.8120805369127
"BASP1",0
"BAX",0
"BAZ1A",0
"BAZ1B",0
"BAZ2A",15.4362416107383
"BAZ2B",0
"BBIP1",57.7181208053691
"BBOX1",86.5771812080537
"BBS1",92.6174496644295
"BBS2",7.38255033557047
"BBS4",26.1744966442953
"BBS7",8.7248322147651
"BBS9",16.1073825503356
"BBX",0
"BCAM",0
"BCAP31",0
"BCAR1",0
"BCAR3",12.0805369127517
"BCAS1",0
"BCAS2",0
"BCAS3",0
"BCAT1",0
"BCAT2",0
"BCCIP",0
"BCDIN3D",63.758389261745
"BCHE",0
"BCKDHB",0
"BCKDK",0
"BCL10",0
"BCL11A",88.5906040268456
"BCL11B",40.9395973154362
"BCL2",94.6308724832215
"BCL2L1",8.05369127516778
"BCL2L11",85.2348993288591
"BCL2L12",96.6442953020134
"BCL2L13",0
"BCL2L14",2.01342281879195
"BCL2L15",0
"BCL3",33.5570469798658
"BCL6",48.993288590604
"BCL7A",12.751677852349
"BCL7B",0
"BCL7C",0
"BCL9",16.1073825503356
"BCL9L",0
"BCLAF1",0
"BCLAF3",20.8053691275168
"BCO1",63.0872483221477
"BCOR",18.1208053691275
"BCORL1",50.3355704697987
"BCR",0
"BCS1L",0
"BDH1",0
"BDH2",0
"BDP1",86.5771812080537
"BECN1",0
"BEGAIN",85.9060402684564
"BEND3",34.2281879194631
"BEND7",82.5503355704698
"BET1",0
"BET1L",0
"BFAR",79.1946308724832
"BGN",0
"BHLHA15",9.39597315436242
"BHLHE40",53.0201342281879
"BHLHE41",86.5771812080537
"BHMT",93.2885906040269
"BHMT2",89.9328859060403
"BICC1",0
"BICD1",10.738255033557
"BICD2",0
"BICDL2",18.7919463087248
"BICRA",43.6241610738255
"BICRAL",36.9127516778523
"BIN1",0
"BIN2",0
"BIN3",0
"BIRC2",0
"BIRC3",89.261744966443
"BIRC5",84.5637583892617
"BIRC6",0
"BLK",96.6442953020134
"BLM",79.1946308724832
"BLMH",0
"BLNK",0
"BLOC1S1",4.02684563758389
"BLOC1S2",0
"BLOC1S3",0
"BLOC1S4",0
"BLOC1S5",13.4228187919463
"BLOC1S6",13.4228187919463
"BLVRA",0
"BLVRB",0
"BLZF1",34.8993288590604
"BMERB1",71.1409395973154
"BMF",48.3221476510067
"BMP1",2.01342281879195
"BMP2",95.9731543624161
"BMP2K",0
"BMP4",95.3020134228188
"BMPR2",73.8255033557047
"BMS1",0
"BMT2",86.5771812080537
"BMX",55.7046979865772
"BNC2",42.2818791946309
"BNIP1",0
"BNIP2",5.36912751677852
"BNIP3",24.8322147651007
"BNIP3L",67.1140939597315
"BNIP5",67.1140939597315
"BOD1",8.05369127516778
"BOD1L1",0
"BOK",0
"BOLA1",32.8859060402685
"BOLA3",8.7248322147651
"BOP1",0
"BORCS5",0
"BORCS6",0
"BORCS8",7.38255033557047
"BPGM",0
"BPHL",0
"BPI",0
"BPIFA1",95.9731543624161
"BPIFB1",4.69798657718121
"BPNT1",0
"BPTF",0
"BRAF",0
"BRAP",0
"BRAT1",0
"BRCA1",73.8255033557047
"BRCA2",59.7315436241611
"BRCC3",0
"BRD1",16.1073825503356
"BRD2",0
"BRD3",0
"BRD4",0
"BRD7",3.35570469798658
"BRD8",0
"BRD9",4.69798657718121
"BRF1",0
"BRI3BP",0
"BRIX1",0
"BRK1",0
"BRMS1",4.69798657718121
"BRMS1L",0
"BROX",0
"BRPF1",0
"BRPF3",79.1946308724832
"BRSK2",24.1610738255034
"BRWD1",28.1879194630872
"BRWD3",68.4563758389262
"BSCL2",57.0469798657718
"BSDC1",0
"BSG",0
"BSN",74.496644295302
"BSPRY",0
"BST1",0
"BST2",0
"BTAF1",0
"BTBD1",20.8053691275168
"BTBD10",91.9463087248322
"BTBD11",61.0738255033557
"BTBD2",45.6375838926174
"BTBD3",95.3020134228188
"BTBD8",14.7651006711409
"BTBD9",81.8791946308725
"BTD",0
"BTF3",0
"BTF3L4",0
"BTK",0
"BTN2A1",67.7852348993289
"BTN3A1",81.8791946308725
"BTN3A3",3.35570469798658
"BUB1",93.2885906040269
"BUB1B",79.8657718120805
"BUB3",0
"BUD13",3.35570469798658
"BUD23",13.4228187919463
"BUD31",0
"BYSL",0
"BZW1",0
"BZW2",0
"C10orf88",58.3892617449664
"C11orf52",6.04026845637584
"C11orf53",95.9731543624161
"C11orf54",0
"C11orf58",0
"C11orf68",0
"C11orf95",43.6241610738255
"C11orf96",0
"C11orf98",3.35570469798658
"C12orf10",0
"C12orf29",0
"C12orf4",0
